rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
31-07-2023,0,False,0,0,False,0,0,False,0,2004,2023
24-07-2023,0,False,0,0,False,0,0,False,0,2004,2023
17-07-2023,1768,True,1,0,False,0,0,False,0,2004,2023
03-07-2023,1760,True,1,0,False,0,0,False,0,2004,2023
26-06-2023,1742,True,1,0,False,0,0,False,0,2004,2023
19-06-2023,1720,True,1,0,False,0,0,False,0,2004,2023
12-06-2023,981,False,11,0,False,0,0,False,0,2004,2023
29-05-2023,673,False,40,0,False,0,0,False,0,2004,2023
22-05-2023,668,False,40,0,False,0,0,False,0,2004,2023
08-05-2023,673,False,40,0,False,0,0,False,0,2004,2023
24-04-2023,549,False,63,0,False,0,0,False,0,2004,2023
17-04-2023,550,False,63,0,False,0,0,False,0,2004,2023
10-04-2023,546,False,63,0,False,0,0,False,0,2004,2023
03-04-2023,482,False,79,0,False,0,0,False,0,2004,2023
20-03-2023,486,False,79,0,False,0,0,False,0,2004,2023
06-03-2023,484,False,81,0,False,0,0,False,0,2004,2023
27-02-2023,465,False,88,0,False,0,0,False,0,2004,2023
20-02-2023,461,False,88,0,False,0,0,False,0,2004,2023
13-02-2023,438,False,100,0,False,0,0,False,0,2004,2023
06-02-2023,420,False,106,0,False,0,0,False,0,2004,2023
30-01-2023,352,False,136,0,False,0,1253,True,16,2004,2023
16-01-2023,330,False,152,0,False,0,1255,True,16,2004,2023
09-01-2023,327,False,152,0,False,0,1256,True,16,2004,2023
02-01-2023,317,False,159,0,False,0,813,False,46,2004,2023
26-12-2022,317,False,159,0,False,0,812,False,46,2004,2023
19-12-2022,318,False,159,0,False,0,814,False,46,2004,2023
12-12-2022,320,False,159,0,False,0,816,False,46,2004,2023
05-12-2022,322,False,159,0,False,0,819,False,46,2004,2023
28-11-2022,317,False,159,0,False,0,817,False,46,2004,2023
21-11-2022,278,False,188,0,False,0,814,False,46,2004,2023
14-11-2022,273,False,188,0,False,0,811,False,46,2004,2023
07-11-2022,266,False,196,266,False,196,814,False,46,2004,2023
31-10-2022,262,False,196,260,False,196,808,True,46,2004,2023
