rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,5,False,6485,5,False,3150,0,False,0,2011,2024
27-05-2024,5,False,6295,3,False,2950,0,False,0,2011,2024
20-05-2024,5,False,6295,3,False,2950,0,False,0,2011,2024
06-05-2024,4,False,7195,2,False,2850,0,False,0,2011,2024
22-04-2024,4,False,7085,2,False,2650,0,False,0,2011,2024
15-04-2024,4,False,7085,2,False,2650,0,False,0,2011,2024
08-04-2024,4,False,7165,2,False,2550,0,False,0,2011,2024
01-04-2024,4,False,7165,2,False,2550,0,False,0,2011,2024
18-03-2024,4,False,7765,2,False,2150,0,False,0,2011,2024
04-03-2024,4,False,7715,2,False,1500,0,False,0,2011,2024
26-02-2024,4,False,8015,2,False,1300,0,False,0,2011,2024
19-02-2024,4,False,8265,2,False,1300,0,False,0,2011,2024
12-02-2024,3,False,8765,2,False,1300,0,False,0,2011,2024
05-02-2024,3,False,8765,2,False,1300,0,False,0,2011,2024
29-01-2024,3,False,8765,2,False,1300,0,False,0,2011,2024
15-01-2024,3,False,7555,0,False,0,0,False,0,2011,2024
08-01-2024,3,False,7555,0,False,0,0,False,0,2011,2024
01-01-2024,3,False,7600,0,False,0,0,False,0,2011,2024
25-12-2023,3,False,7600,0,False,0,0,False,0,2011,2024
18-12-2023,3,False,7600,0,False,0,0,False,0,2011,2024
11-12-2023,3,False,7600,0,False,0,0,False,0,2011,2024
04-12-2023,3,False,7600,0,False,0,0,False,0,2011,2024
27-11-2023,3,False,7600,0,False,0,0,False,0,2011,2024
20-11-2023,3,False,7600,0,False,0,0,False,0,2011,2024
13-11-2023,3,False,7200,3,False,7200,0,False,0,2011,2024
06-11-2023,3,False,7200,3,False,7200,0,False,0,2011,2024
30-10-2023,3,False,7200,3,False,7190,0,False,0,2011,2024
23-10-2023,3,False,7355,3,False,6935,0,False,0,2011,2024
16-10-2023,3,False,7355,3,False,6935,0,False,0,2011,2024
02-10-2023,3,False,7490,3,False,6890,0,False,0,2011,2024
25-09-2023,3,False,7280,3,False,6590,0,False,0,2011,2024
18-09-2023,3,False,7280,3,False,6590,0,False,0,2011,2024
11-09-2023,3,False,7280,3,False,6590,0,False,0,2011,2024
28-08-2023,3,False,6260,3,False,5390,0,False,0,2011,2024
21-08-2023,3,False,6260,3,False,5390,0,False,0,2011,2024
14-08-2023,3,False,6530,3,False,5300,0,False,0,2011,2024
07-08-2023,3,False,6360,3,False,5120,0,False,0,2011,2024
31-07-2023,3,False,6520,3,False,5120,0,False,0,2011,2024
24-07-2023,3,False,6520,3,False,5120,0,False,0,2011,2024
17-07-2023,3,False,6520,3,False,5120,0,False,0,2011,2024
03-07-2023,3,False,5890,3,False,4400,0,False,0,2011,2024
26-06-2023,3,False,5890,3,False,4400,0,False,0,2011,2024
19-06-2023,3,False,5845,2,False,4310,0,False,0,2011,2024
12-06-2023,3,False,6100,2,False,4310,0,False,0,2011,2024
29-05-2023,2,False,6330,1,False,4300,0,False,0,2011,2024
22-05-2023,2,False,6330,1,False,4300,0,False,0,2011,2024
08-05-2023,3,False,5330,2,False,3300,0,False,0,2011,2024
24-04-2023,3,False,5240,1,False,3210,0,False,0,2011,2024
17-04-2023,4,False,5240,1,False,3210,0,False,0,2011,2024
10-04-2023,5,False,5150,1,False,3030,0,False,0,2011,2024
03-04-2023,4,False,5150,1,False,3030,0,False,0,2011,2024
20-03-2023,5,False,4330,2,False,2030,0,False,0,2011,2024
06-03-2023,6,False,3775,3,False,1430,0,False,0,2011,2024
27-02-2023,7,False,3320,4,False,930,0,False,0,2011,2024
20-02-2023,8,False,3250,7,False,680,0,False,0,2011,2024
13-02-2023,11,False,2750,35,True,180,0,False,0,2011,2024
06-02-2023,12,False,2750,29,True,180,0,False,0,2011,2024
30-01-2023,12,False,2750,29,True,180,0,False,0,2011,2024
16-01-2023,8,False,3860,38,True,90,0,False,0,2011,2024
09-01-2023,8,False,3860,26,True,90,0,False,0,2011,2024
02-01-2023,7,False,4065,0,False,0,407,False,135,2011,2024
26-12-2022,7,False,4065,0,False,0,407,False,135,2011,2024
19-12-2022,7,False,4065,0,False,0,407,False,135,2011,2024
12-12-2022,7,False,4065,0,False,0,407,False,135,2011,2024
05-12-2022,7,False,4065,0,False,0,410,False,135,2011,2024
28-11-2022,7,False,4065,0,False,0,413,False,135,2011,2024
21-11-2022,7,False,4065,0,False,0,406,False,135,2011,2024
14-11-2022,5,False,4065,0,False,0,400,False,135,2011,2024
07-11-2022,5,False,4065,5,False,4065,400,False,135,2011,2024
31-10-2022,3,False,5655,5,False,4055,402,False,135,2011,2024
24-10-2022,4,False,5155,5,False,3555,401,False,135,2011,2024
17-10-2022,4,False,5155,5,False,3555,397,False,135,2011,2024
10-10-2022,4,False,5245,5,False,3555,394,False,135,2011,2024
03-10-2022,4,False,5065,5,False,3375,384,False,135,2011,2024
26-09-2022,4,False,5065,5,False,3375,386,False,135,2011,2024
19-09-2022,4,False,5065,5,False,3375,390,False,135,2011,2024
12-09-2022,4,False,5065,5,False,3375,398,False,135,2011,2024
29-08-2022,1,False,6885,5,False,3195,392,False,135,2011,2024
22-08-2022,1,False,6885,5,False,3195,392,False,135,2011,2024
15-08-2022,1,False,6885,5,False,2835,392,False,135,2011,2024
08-08-2022,1,False,7875,5,False,2825,391,False,135,2011,2024
01-08-2022,1,False,7625,6,False,2575,390,False,135,2011,2024
25-07-2022,1,False,7775,6,False,2575,399,False,135,2011,2024
18-07-2022,1,False,7775,6,False,2575,397,False,135,2011,2024
11-07-2022,1,False,7775,6,False,2575,400,False,135,2011,2024
27-06-2022,1,False,7955,6,False,2575,408,False,135,2011,2024
20-06-2022,1,False,8160,6,False,2530,407,False,135,2011,2024
13-06-2022,1,False,7950,8,False,2230,411,False,135,2011,2024
06-06-2022,2,False,8160,8,False,2080,419,False,135,2011,2024
23-05-2022,2,False,7980,7,False,1900,407,False,135,2011,2024
16-05-2022,2,False,7980,7,False,1900,404,False,135,2011,2024
09-05-2022,2,False,7990,5,False,1900,281,False,225,2011,2024
02-05-2022,2,False,8080,4,False,1900,233,False,315,2011,2024
25-04-2022,2,False,8080,4,False,1900,234,False,315,2011,2024
18-04-2022,2,False,8230,4,False,1900,234,False,315,2011,2024
11-04-2022,2,False,8410,3,False,1900,213,False,360,2011,2024
04-04-2022,2,False,8410,3,False,1900,210,False,360,2011,2024
21-03-2022,2,False,8410,2,False,1720,210,False,360,2011,2024
07-03-2022,1,False,8615,2,False,1675,208,False,360,2011,2024
28-02-2022,1,False,8615,2,False,1675,211,False,360,2011,2024
21-02-2022,2,False,8435,2,False,1495,214,False,360,2011,2024
14-02-2022,2,False,9635,2,False,1495,221,False,360,2011,2024
07-02-2022,2,False,9635,2,False,1495,223,False,360,2011,2024
31-01-2022,2,False,10125,2,False,1495,225,False,360,2011,2024
17-01-2022,2,False,8935,4,False,295,227,False,360,2011,2024
10-01-2022,2,False,8935,3,False,295,227,False,360,2011,2024
03-01-2022,2,False,8640,0,False,0,280,False,265,2011,2024
27-12-2021,2,False,8640,2,False,7070,280,False,265,2011,2024
20-12-2021,2,False,8640,2,False,7070,280,False,265,2011,2024
13-12-2021,2,False,8640,2,False,7070,279,False,265,2011,2024
06-12-2021,2,False,8640,2,False,7070,278,False,265,2011,2024
29-11-2021,2,False,8640,2,False,7070,277,False,265,2011,2024
22-11-2021,2,False,8640,2,False,7070,275,False,265,2011,2024
15-11-2021,2,False,7640,2,False,7070,278,False,265,2011,2024
08-11-2021,2,False,7640,2,False,7070,278,False,265,2011,2024
01-11-2021,2,False,9540,2,False,6470,275,False,265,2011,2024
25-10-2021,2,False,9630,2,False,6470,276,False,265,2011,2024
18-10-2021,2,False,9630,2,False,6470,274,False,265,2011,2024
04-10-2021,2,False,10575,2,False,6380,282,False,265,2011,2024
27-09-2021,2,False,10575,2,False,6380,284,False,265,2011,2024
20-09-2021,2,False,10575,2,False,6380,283,False,265,2011,2024
13-09-2021,2,False,10780,2,False,6380,285,False,265,2011,2024
30-08-2021,2,False,9980,3,False,4380,289,False,265,2011,2024
23-08-2021,2,False,9980,3,False,4380,287,False,265,2011,2024
16-08-2021,2,False,10620,3,False,4020,249,False,355,2011,2024
09-08-2021,2,False,9920,6,False,3020,249,False,355,2011,2024
02-08-2021,2,False,10220,6,False,3020,246,False,355,2011,2024
26-07-2021,2,False,10370,6,False,3020,244,False,355,2011,2024
19-07-2021,2,False,10370,6,False,3020,238,False,355,2011,2024
12-07-2021,2,False,10370,6,False,3020,238,False,355,2011,2024
28-06-2021,2,False,10280,6,False,2840,240,False,355,2011,2024
21-06-2021,2,False,10053,6,False,2590,240,False,355,2011,2024
14-06-2021,2,False,10143,6,False,2590,237,False,355,2011,2024
31-05-2021,2,False,9793,5,False,2230,236,False,355,2011,2024
