rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
30-10-2023,0,False,0,0,False,0,0,False,0,2000,2023
23-10-2023,0,False,0,0,False,0,0,False,0,2000,2023
16-10-2023,0,False,0,0,False,0,0,False,0,2000,2023
02-10-2023,0,False,0,0,False,0,0,False,0,2000,2023
25-09-2023,1188,True,6,0,False,0,0,False,0,2000,2023
18-09-2023,1186,True,6,0,False,0,0,False,0,2000,2023
11-09-2023,1178,True,6,0,False,0,0,False,0,2000,2023
28-08-2023,838,False,22,0,False,0,0,False,0,2000,2023
21-08-2023,836,False,22,0,False,0,0,False,0,2000,2023
14-08-2023,837,False,22,0,False,0,0,False,0,2000,2023
07-08-2023,835,False,22,0,False,0,0,False,0,2000,2023
31-07-2023,838,False,22,0,False,0,0,False,0,2000,2023
24-07-2023,779,False,28,0,False,0,0,False,0,2000,2023
17-07-2023,775,False,28,0,False,0,0,False,0,2000,2023
03-07-2023,778,False,28,0,False,0,0,False,0,2000,2023
26-06-2023,766,False,28,0,False,0,0,False,0,2000,2023
19-06-2023,755,False,28,0,False,0,0,False,0,2000,2023
12-06-2023,589,False,53,0,False,0,0,False,0,2000,2023
29-05-2023,540,False,65,0,False,0,0,False,0,2000,2023
22-05-2023,538,False,65,0,False,0,0,False,0,2000,2023
08-05-2023,539,False,65,0,False,0,0,False,0,2000,2023
24-04-2023,539,False,65,0,False,0,0,False,0,2000,2023
17-04-2023,540,False,65,0,False,0,0,False,0,2000,2023
10-04-2023,538,False,65,0,False,0,0,False,0,2000,2023
03-04-2023,544,False,65,0,False,0,0,False,0,2000,2023
20-03-2023,503,False,73,0,False,0,0,False,0,2000,2023
06-03-2023,503,False,73,0,False,0,0,False,0,2000,2023
27-02-2023,498,False,73,0,False,0,0,False,0,2000,2023
20-02-2023,500,False,73,0,False,0,0,False,0,2000,2023
13-02-2023,452,False,93,0,False,0,0,False,0,2000,2023
06-02-2023,403,False,113,0,False,0,0,False,0,2000,2023
30-01-2023,403,False,113,0,False,0,0,False,0,2000,2023
16-01-2023,379,False,123,0,False,0,0,False,0,2000,2023
09-01-2023,380,False,123,0,False,0,0,False,0,2000,2023
02-01-2023,354,False,135,0,False,0,0,False,0,2000,2023
26-12-2022,354,False,135,0,False,0,0,False,0,2000,2023
19-12-2022,354,False,135,0,False,0,0,False,0,2000,2023
12-12-2022,355,False,135,0,False,0,0,False,0,2000,2023
05-12-2022,358,False,135,0,False,0,0,False,0,2000,2023
28-11-2022,356,False,135,0,False,0,0,False,0,2000,2023
21-11-2022,358,False,135,0,False,0,0,False,0,2000,2023
14-11-2022,352,False,135,0,False,0,0,False,0,2000,2023
07-11-2022,351,False,135,351,False,135,0,False,0,2000,2023
31-10-2022,325,False,151,343,False,135,0,False,0,2000,2023
24-10-2022,310,False,158,340,False,135,0,False,0,2000,2023
17-10-2022,301,False,164,335,False,135,0,False,0,2000,2023
10-10-2022,257,False,197,331,False,135,0,False,0,2000,2023
03-10-2022,250,False,197,322,False,135,0,False,0,2000,2023
26-09-2022,245,False,203,323,False,129,0,False,0,2000,2023
19-09-2022,249,False,203,320,False,129,0,False,0,2000,2023
12-09-2022,249,False,203,317,False,129,0,False,0,2000,2023
29-08-2022,196,False,277,331,False,113,0,False,0,2000,2023
22-08-2022,196,False,277,324,False,113,0,False,0,2000,2023
15-08-2022,197,False,277,320,False,113,0,False,0,2000,2023
08-08-2022,192,False,277,314,False,113,0,False,0,2000,2023
01-08-2022,179,False,297,307,False,113,0,False,0,2000,2023
25-07-2022,180,False,294,309,False,107,0,False,0,2000,2023
18-07-2022,173,False,294,298,False,107,0,False,0,2000,2023
11-07-2022,179,False,294,283,False,107,0,False,0,2000,2023
27-06-2022,162,False,339,269,False,107,0,False,0,2000,2023
20-06-2022,149,False,390,265,False,107,0,False,0,2000,2023
13-06-2022,151,False,398,315,False,82,0,False,0,2000,2023
06-06-2022,141,False,466,339,False,70,0,False,0,2000,2023
23-05-2022,135,False,466,307,False,70,0,False,0,2000,2023
16-05-2022,137,False,466,297,False,70,0,False,0,2000,2023
09-05-2022,137,False,466,278,False,70,0,False,0,2000,2023
02-05-2022,138,False,468,271,False,70,0,False,0,2000,2023
25-04-2022,136,False,468,260,False,70,0,False,0,2000,2023
18-04-2022,136,False,468,250,False,70,0,False,0,2000,2023
11-04-2022,137,False,468,195,False,70,0,False,0,2000,2023
04-04-2022,134,False,468,183,False,70,0,False,0,2000,2023
21-03-2022,138,False,465,168,False,62,0,False,0,2000,2023
07-03-2022,122,False,542,145,False,62,0,False,0,2000,2023
28-02-2022,123,False,546,141,False,62,0,False,0,2000,2023
21-02-2022,124,False,546,130,False,62,0,False,0,2000,2023
14-02-2022,123,False,574,150,False,42,0,False,0,2000,2023
07-02-2022,100,False,704,188,True,22,0,False,0,2000,2023
31-01-2022,106,False,704,162,True,22,0,False,0,2000,2023
17-01-2022,101,False,736,113,True,12,0,False,0,2000,2023
10-01-2022,98,False,749,79,True,12,0,False,0,2000,2023
03-01-2022,102,False,744,0,False,0,0,False,0,2000,2023
27-12-2021,102,False,744,103,False,502,0,False,0,2000,2023
20-12-2021,102,False,744,103,False,502,0,False,0,2000,2023
13-12-2021,102,False,744,103,False,502,0,False,0,2000,2023
06-12-2021,102,False,744,102,False,502,0,False,0,2000,2023
29-11-2021,103,False,744,101,False,502,0,False,0,2000,2023
22-11-2021,102,False,744,101,False,502,0,False,0,2000,2023
15-11-2021,100,False,744,99,False,502,0,False,0,2000,2023
08-11-2021,100,False,744,98,False,502,0,False,0,2000,2023
01-11-2021,101,False,734,97,False,486,0,False,0,2000,2023
25-10-2021,98,False,767,97,False,479,0,False,0,2000,2023
18-10-2021,98,False,767,95,False,473,0,False,0,2000,2023
04-10-2021,93,False,824,98,False,440,541,False,90,2000,2023
27-09-2021,92,False,817,97,False,428,537,False,90,2000,2023
20-09-2021,87,False,868,95,False,428,542,False,90,2000,2023
13-09-2021,88,False,868,93,False,428,552,False,90,2000,2023
30-08-2021,89,False,873,105,False,338,562,False,90,2000,2023
23-08-2021,88,False,873,105,False,338,556,False,90,2000,2023
16-08-2021,87,False,873,102,False,338,567,False,90,2000,2023
09-08-2021,88,False,873,98,False,338,564,False,90,2000,2023
02-08-2021,88,False,863,102,False,318,562,False,90,2000,2023
26-07-2021,87,False,863,98,False,318,557,False,90,2000,2023
19-07-2021,87,False,863,92,True,318,550,False,90,2000,2023
12-07-2021,87,False,863,88,False,318,543,False,90,2000,2023
28-06-2021,90,False,863,89,False,273,544,False,90,2000,2023
21-06-2021,95,False,822,106,True,222,545,False,90,2000,2023
14-06-2021,91,False,854,100,False,222,540,False,90,2000,2023
31-05-2021,98,False,811,113,True,152,542,False,90,2000,2023
24-05-2021,95,False,811,107,True,152,537,False,90,2000,2023
17-05-2021,93,False,811,102,True,152,537,False,90,2000,2023
10-05-2021,97,False,814,100,True,152,537,False,90,2000,2023
03-05-2021,98,False,814,97,True,152,539,False,90,2000,2023
26-04-2021,96,False,814,93,False,152,536,False,90,2000,2023
19-04-2021,96,False,814,86,False,152,537,False,90,2000,2023
12-04-2021,96,False,814,80,False,152,537,False,90,2000,2023
05-04-2021,96,False,814,75,False,152,539,False,90,2000,2023
22-03-2021,97,False,804,63,False,152,542,False,90,2000,2023
15-03-2021,96,False,804,57,False,145,537,False,90,2000,2023
08-03-2021,107,False,726,116,False,65,534,False,90,2000,2023
01-03-2021,107,False,726,115,True,55,529,False,90,2000,2023
22-02-2021,106,False,726,96,True,55,523,False,90,2000,2023
08-02-2021,108,False,699,0,False,0,514,False,90,2000,2023
01-02-2021,107,False,699,0,False,0,511,False,90,2000,2023
25-01-2021,106,False,699,0,False,0,510,False,90,2000,2023
18-01-2021,106,False,699,0,False,0,509,False,90,2000,2023
11-01-2021,105,False,699,0,False,0,507,False,90,2000,2023
04-01-2021,105,False,699,0,False,279,507,False,90,2000,2023
28-12-2020,106,False,689,0,False,0,505,False,90,2000,2023
21-12-2020,106,False,689,0,False,0,505,False,90,2000,2023
14-12-2020,106,False,689,0,False,0,505,False,90,2000,2023
07-12-2020,106,False,689,0,False,0,503,False,90,2000,2023
30-11-2020,105,False,689,0,False,0,503,False,90,2000,2023
23-11-2020,105,False,689,0,False,0,500,False,90,2000,2023
16-11-2020,104,False,689,0,False,0,498,False,90,2000,2023
09-11-2020,104,False,689,0,False,0,493,False,90,2000,2023
02-11-2020,103,False,689,0,False,0,492,False,90,2000,2023
26-10-2020,103,False,679,0,False,0,489,False,90,2000,2023
19-10-2020,103,False,679,0,False,0,484,False,90,2000,2023
12-10-2020,102,False,679,0,False,0,481,False,90,2000,2023
28-09-2020,98,False,679,0,False,0,475,False,90,2000,2023
21-09-2020,97,False,671,0,False,0,473,False,90,2000,2023
14-09-2020,96,False,671,0,False,0,469,False,90,2000,2023
31-08-2020,89,False,671,0,False,0,468,False,90,2000,2023
24-08-2020,88,False,671,0,False,0,466,False,90,2000,2023
16-03-2020,88,False,671,66,False,215,465,False,90,2000,2023
09-03-2020,88,False,671,66,False,215,461,False,90,2000,2023
02-03-2020,88,False,671,66,False,215,453,False,90,2000,2023
24-02-2020,86,False,671,53,False,215,456,False,90,2000,2023
17-02-2020,80,False,706,39,False,215,342,False,135,2000,2023
10-02-2020,98,False,601,114,False,65,345,False,135,2000,2023
03-02-2020,95,False,601,98,False,65,292,False,180,2000,2023
20-01-2020,85,False,646,155,True,20,297,False,180,2000,2023
13-01-2020,84,False,636,0,False,0,296,False,180,2000,2023
06-01-2020,71,False,776,0,False,0,294,False,180,2000,2023
30-12-2019,72,False,776,0,False,0,297,False,180,2000,2023
23-12-2019,72,False,776,0,False,0,297,False,180,2000,2023
16-12-2019,72,False,776,0,False,0,298,False,180,2000,2023
09-12-2019,72,False,776,0,False,0,298,False,180,2000,2023
02-12-2019,72,False,776,0,False,0,298,False,180,2000,2023
25-11-2019,72,False,776,0,False,0,298,False,180,2000,2023
18-11-2019,72,False,776,0,False,0,297,False,180,2000,2023
11-11-2019,73,False,776,0,False,0,296,False,180,2000,2023
04-11-2019,73,False,776,73,False,776,296,False,180,2000,2023
28-10-2019,74,False,760,73,False,750,294,False,180,2000,2023
21-10-2019,71,False,795,70,False,750,292,False,180,2000,2023
14-10-2019,72,False,795,77,False,670,450,False,90,2000,2023
07-10-2019,72,False,820,75,False,660,447,False,90,2000,2023
30-09-2019,71,False,820,74,False,660,450,False,90,2000,2023
23-09-2019,74,False,795,76,False,625,450,False,90,2000,2023
16-09-2019,74,False,795,74,False,625,455,False,90,2000,2023
09-09-2019,77,False,725,88,False,545,454,False,90,2000,2023
26-08-2019,77,False,735,85,False,510,283,False,180,2000,2023
19-08-2019,77,False,745,84,False,510,284,False,180,2000,2023
12-08-2019,78,False,745,80,False,510,283,False,180,2000,2023
05-08-2019,78,False,745,80,False,510,281,False,180,2000,2023
29-07-2019,79,False,745,78,False,510,258,False,180,2000,2023
22-07-2019,76,False,745,76,False,510,260,False,180,2000,2023
15-07-2019,75,False,745,71,False,510,261,False,180,2000,2023
01-07-2019,73,False,745,68,False,465,261,False,180,2000,2023
24-06-2019,71,False,745,63,False,465,261,False,180,2000,2023
17-06-2019,69,False,770,79,False,400,263,False,180,2000,2023
10-06-2019,72,False,750,76,False,380,265,False,180,2000,2023
27-05-2019,71,False,750,70,False,370,184,False,360,2000,2023
20-05-2019,66,False,795,70,False,370,186,False,360,2000,2023
13-05-2019,65,False,785,65,False,360,186,False,360,2000,2023
06-05-2019,67,False,775,63,False,350,186,False,360,2000,2023
29-04-2019,68,False,775,63,False,350,189,False,360,2000,2023
22-04-2019,62,False,865,59,False,350,190,False,360,2000,2023
15-04-2019,46,False,970,49,False,340,187,False,360,2000,2023
08-04-2019,47,False,970,45,False,340,189,False,360,2000,2023
01-04-2019,47,False,970,43,False,340,189,False,360,2000,2023
18-03-2019,47,False,970,37,False,340,191,False,360,2000,2023
11-03-2019,47,False,960,33,False,330,190,False,360,2000,2023
04-03-2019,47,False,960,33,False,330,190,False,360,2000,2023
25-02-2019,49,False,960,25,False,330,187,False,360,2000,2023
18-02-2019,52,False,915,23,False,285,206,False,315,2000,2023
11-02-2019,40,False,1060,20,False,240,203,False,315,2000,2023
04-02-2019,37,False,1080,15,False,240,226,False,270,2000,2023
28-01-2019,37,False,1080,15,False,240,226,False,270,2000,2023
14-01-2019,35,False,1170,14,False,150,224,False,270,2000,2023
07-01-2019,37,False,1100,0,False,0,212,False,285,2000,2023
31-12-2018,37,False,1106,0,False,0,213,False,285,2000,2023
24-12-2018,37,False,1106,0,False,0,213,False,285,2000,2023
17-12-2018,37,False,1106,0,False,0,228,False,285,2000,2023
10-12-2018,37,False,1106,0,False,0,228,False,285,2000,2023
03-12-2018,37,False,1106,0,False,0,228,False,285,2000,2023
26-11-2018,37,False,1106,0,False,0,229,False,285,2000,2023
19-11-2018,38,False,1106,0,False,0,228,False,285,2000,2023
12-11-2018,38,False,1121,0,False,0,232,False,285,2000,2023
05-11-2018,35,False,1135,35,False,1135,235,False,285,2000,2023
29-10-2018,37,False,1135,36,False,1125,229,False,285,2000,2023
22-10-2018,43,False,1096,37,False,1090,234,False,285,2000,2023
15-10-2018,46,False,1051,43,False,1006,233,False,285,2000,2023
08-10-2018,47,False,1021,42,False,961,232,False,285,2000,2023
01-10-2018,46,False,1021,41,False,961,231,False,285,2000,2023
24-09-2018,46,False,1021,41,False,961,235,False,285,2000,2023
17-09-2018,47,False,1021,40,False,961,237,False,285,2000,2023
10-09-2018,47,False,1021,40,False,961,236,False,285,2000,2023
27-08-2018,51,False,986,38,False,916,239,False,285,2000,2023
20-08-2018,50,False,996,37,False,906,240,False,285,2000,2023
13-08-2018,49,False,996,36,False,906,237,False,285,2000,2023
06-08-2018,49,False,996,35,False,900,235,False,285,2000,2023
30-07-2018,48,False,996,33,False,900,235,False,285,2000,2023
23-07-2018,48,False,996,32,False,900,234,False,285,2000,2023
16-07-2018,50,False,996,30,False,900,234,False,285,2000,2023
02-07-2018,50,False,996,26,False,855,234,False,285,2000,2023
25-06-2018,43,False,1080,25,False,855,237,False,285,2000,2023
18-06-2018,50,False,1000,28,False,771,233,False,285,2000,2023
11-06-2018,49,False,1010,26,False,771,232,False,285,2000,2023
28-05-2018,50,False,1045,21,False,761,314,False,195,2000,2023
21-05-2018,51,False,1020,23,False,716,266,False,240,2000,2023
14-05-2018,49,False,1020,21,False,716,266,False,240,2000,2023
07-05-2018,49,False,1021,19,False,716,262,False,240,2000,2023
30-04-2018,48,False,1021,19,False,716,229,False,285,2000,2023
23-04-2018,55,False,951,21,False,626,224,False,285,2000,2023
16-04-2018,62,False,851,24,False,511,222,False,285,2000,2023
09-04-2018,62,False,851,23,False,511,225,False,285,2000,2023
02-04-2018,62,False,851,23,False,511,226,False,285,2000,2023
19-03-2018,62,False,861,15,False,511,223,False,285,2000,2023
05-03-2018,62,False,861,15,False,511,223,False,285,2000,2023
26-02-2018,62,False,861,10,False,511,206,False,310,2000,2023
19-02-2018,59,False,861,7,False,511,203,False,310,2000,2023
12-02-2018,81,False,686,12,False,321,206,False,310,2000,2023
05-02-2018,77,False,686,11,False,301,209,False,310,2000,2023
29-01-2018,78,False,686,11,False,301,207,False,310,2000,2023
15-01-2018,76,False,686,18,False,121,208,False,310,2000,2023
08-01-2018,87,False,616,92,False,41,217,False,295,2000,2023
01-01-2018,86,False,616,74,False,35,216,False,295,2000,2023
25-12-2017,86,False,616,70,False,35,216,False,295,2000,2023
18-12-2017,86,False,616,68,False,35,216,False,295,2000,2023
11-12-2017,86,False,616,58,False,35,215,False,295,2000,2023
04-12-2017,86,False,616,51,False,35,216,False,295,2000,2023
27-11-2017,86,False,616,50,False,35,215,False,295,2000,2023
20-11-2017,87,False,616,34,False,35,216,False,295,2000,2023
13-11-2017,89,False,611,27,True,20,214,False,295,2000,2023
06-11-2017,94,False,591,94,False,591,215,False,295,2000,2023
30-10-2017,85,False,626,88,False,591,219,False,295,2000,2023
23-10-2017,85,False,626,82,False,591,217,False,295,2000,2023
16-10-2017,88,False,626,90,False,546,216,False,295,2000,2023
09-10-2017,85,False,611,90,False,531,217,False,295,2000,2023
02-10-2017,86,False,611,88,False,531,215,False,295,2000,2023
25-09-2017,87,False,611,83,False,531,216,False,295,2000,2023
18-09-2017,85,False,611,82,False,531,218,False,295,2000,2023
11-09-2017,86,False,611,80,False,531,221,False,295,2000,2023
28-08-2017,81,False,646,75,False,521,222,False,295,2000,2023
21-08-2017,86,False,626,81,False,501,224,False,295,2000,2023
14-08-2017,84,False,626,76,False,501,223,False,295,2000,2023
07-08-2017,83,False,626,73,False,501,223,False,295,2000,2023
31-07-2017,82,False,626,68,False,501,219,False,295,2000,2023
24-07-2017,80,False,626,62,False,501,219,False,295,2000,2023
17-07-2017,81,False,626,58,False,501,222,False,295,2000,2023
10-07-2017,87,False,626,64,False,456,233,False,295,2000,2023
03-07-2017,87,False,626,64,False,456,233,False,295,2000,2023
26-06-2017,102,False,536,85,False,366,232,False,295,2000,2023
19-06-2017,85,False,616,81,False,356,226,False,295,2000,2023
12-06-2017,76,False,686,84,False,336,226,False,295,2000,2023
29-05-2017,83,False,651,87,False,291,307,False,205,2000,2023
22-05-2017,83,False,631,95,False,271,369,False,160,2000,2023
15-05-2017,76,False,676,88,False,271,371,False,160,2000,2023
08-05-2017,72,False,705,82,False,255,371,False,160,2000,2023
01-05-2017,72,False,705,77,False,255,474,False,115,2000,2023
24-04-2017,74,False,685,77,False,235,480,False,115,2000,2023
17-04-2017,75,False,685,68,False,235,474,False,115,2000,2023
10-04-2017,74,False,685,62,False,235,477,False,115,2000,2023
03-04-2017,76,False,685,60,False,235,478,False,115,2000,2023
20-03-2017,80,False,685,66,False,210,477,False,115,2000,2023
06-03-2017,75,False,710,55,False,210,470,False,115,2000,2023
27-02-2017,73,False,700,44,False,200,573,False,90,2000,2023
20-02-2017,72,False,700,38,False,200,128,False,590,2000,2023
13-02-2017,70,False,700,29,False,200,128,False,590,2000,2023
06-02-2017,75,False,680,26,True,180,127,False,590,2000,2023
30-01-2017,68,False,725,26,True,180,132,False,590,2000,2023
16-01-2017,89,False,635,0,False,0,106,False,770,2000,2023
09-01-2017,85,False,655,0,False,0,104,False,770,2000,2023
02-01-2017,87,False,655,0,False,0,96,False,815,2000,2023
26-12-2016,87,False,655,0,False,0,96,False,815,2000,2023
19-12-2016,87,False,655,0,False,0,96,False,815,2000,2023
12-12-2016,87,False,655,0,False,0,96,False,815,2000,2023
05-12-2016,87,False,655,0,False,0,96,False,815,2000,2023
28-11-2016,87,False,655,0,False,0,96,False,815,2000,2023
21-11-2016,88,False,655,0,False,0,96,False,815,2000,2023
14-11-2016,88,False,655,0,False,0,94,False,815,2000,2023
07-11-2016,90,False,655,90,False,655,98,False,815,2000,2023
31-10-2016,86,False,665,93,False,620,96,False,815,2000,2023
24-10-2016,87,False,665,90,False,620,96,False,815,2000,2023
17-10-2016,100,False,620,100,False,575,80,False,995,2000,2023
10-10-2016,93,False,630,92,False,575,82,False,995,2000,2023
03-10-2016,94,False,630,90,False,575,84,False,995,2000,2023
26-09-2016,94,False,630,85,True,575,84,False,995,2000,2023
19-09-2016,92,False,630,83,True,575,85,False,995,2000,2023
12-09-2016,92,False,630,81,True,575,85,False,995,2000,2023
29-08-2016,87,False,675,82,True,530,84,False,995,2000,2023
22-08-2016,88,False,675,82,False,530,83,False,995,2000,2023
15-08-2016,74,False,720,79,False,530,85,False,995,2000,2023
08-08-2016,71,False,730,79,False,530,82,False,995,2000,2023
01-08-2016,74,False,730,77,False,530,81,False,995,2000,2023
25-07-2016,51,False,910,73,False,530,83,False,995,2000,2023
18-07-2016,52,False,910,66,False,530,83,False,995,2000,2023
11-07-2016,52,False,910,62,False,530,83,False,995,2000,2023
27-06-2016,45,False,955,63,False,485,78,False,995,2000,2023
20-06-2016,57,False,865,82,False,395,79,False,995,2000,2023
13-06-2016,40,False,1075,105,False,305,80,False,995,2000,2023
06-06-2016,40,False,1095,97,False,305,79,False,995,2000,2023
23-05-2016,38,False,1095,91,True,295,78,False,995,2000,2023
16-05-2016,41,False,1050,103,False,250,79,False,995,2000,2023
09-05-2016,42,False,1005,119,True,205,78,False,995,2000,2023
02-05-2016,41,False,1005,110,True,205,77,False,995,2000,2023
25-04-2016,41,False,1005,102,True,205,76,False,995,2000,2023
18-04-2016,42,False,1005,96,False,205,78,False,995,2000,2023
11-04-2016,41,False,1015,89,False,205,78,False,995,2000,2023
04-04-2016,40,False,1015,84,False,205,78,False,995,2000,2023
21-03-2016,43,False,990,85,True,180,80,False,995,2000,2023
07-03-2016,42,False,1010,82,True,155,81,False,995,2000,2023
29-02-2016,40,False,1050,82,True,155,81,False,995,2000,2023
22-02-2016,39,False,1050,73,True,155,148,False,495,2000,2023
15-02-2016,37,False,1050,61,True,155,148,False,495,2000,2023
08-02-2016,36,False,1095,50,False,155,148,False,495,2000,2023
01-02-2016,31,False,1200,59,True,110,152,False,495,2000,2023
18-01-2016,29,False,1290,220,True,20,224,False,315,2000,2023
11-01-2016,29,False,1270,0,False,0,224,False,315,2000,2023
04-01-2016,29,False,1360,0,False,0,256,False,270,2000,2023
28-12-2015,29,False,1360,0,False,0,256,False,270,2000,2023
21-12-2015,29,False,1360,0,False,0,256,False,270,2000,2023
14-12-2015,29,False,1360,0,False,0,258,False,270,2000,2023
07-12-2015,29,False,1360,0,False,0,257,False,270,2000,2023
30-11-2015,29,False,1360,0,False,0,258,False,270,2000,2023
23-11-2015,29,False,1360,0,False,0,259,False,270,2000,2023
16-11-2015,29,False,1360,0,False,0,260,False,270,2000,2023
09-11-2015,29,False,1360,29,False,1360,260,False,270,2000,2023
02-11-2015,28,False,1405,28,False,1315,259,False,270,2000,2023
26-10-2015,27,False,1405,27,False,1315,260,False,270,2000,2023
19-10-2015,28,False,1405,26,True,1315,366,False,180,2000,2023
12-10-2015,27,False,1440,26,False,1305,297,False,225,2000,2023
05-10-2015,25,False,1440,24,False,1305,299,False,225,2000,2023
28-09-2015,25,False,1440,23,False,1305,300,False,225,2000,2023
21-09-2015,25,False,1475,23,False,1305,297,False,225,2000,2023
14-09-2015,25,False,1475,23,False,1305,295,False,225,2000,2023
31-08-2015,25,False,1430,23,False,1215,309,False,225,2000,2023
24-08-2015,25,False,1430,23,False,1215,301,False,225,2000,2023
17-08-2015,25,False,1430,21,False,1170,302,False,225,2000,2023
10-08-2015,25,False,1465,18,True,1160,295,False,225,2000,2023
03-08-2015,24,False,1490,18,True,1160,297,False,225,2000,2023
27-07-2015,26,False,1355,24,False,980,298,False,225,2000,2023
20-07-2015,24,False,1355,21,False,980,296,False,225,2000,2023
13-07-2015,26,False,1360,21,False,980,300,False,225,2000,2023
29-06-2015,27,False,1280,19,False,890,314,False,225,2000,2023
22-06-2015,27,False,1280,19,False,890,309,False,225,2000,2023
15-06-2015,45,False,1020,39,False,590,306,False,225,2000,2023
08-06-2015,45,False,1020,39,True,570,304,False,225,2000,2023
25-05-2015,39,False,1100,35,False,560,302,False,225,2000,2023
18-05-2015,39,False,1105,31,False,560,302,False,225,2000,2023
11-05-2015,39,False,1115,30,False,560,300,False,225,2000,2023
04-05-2015,40,False,1080,24,True,560,295,False,225,2000,2023
27-04-2015,39,False,1080,22,True,560,291,False,225,2000,2023
20-04-2015,39,False,1080,19,False,560,248,False,270,2000,2023
13-04-2015,38,False,1125,18,True,550,250,False,270,2000,2023
06-04-2015,37,False,1125,18,True,550,248,False,270,2000,2023
23-03-2015,33,False,1185,15,False,550,260,False,270,2000,2023
09-03-2015,33,False,1185,15,False,505,262,False,270,2000,2023
02-03-2015,35,False,1145,18,False,465,258,False,270,2000,2023
23-02-2015,36,False,1145,11,False,465,211,False,360,2000,2023
16-02-2015,36,False,1145,8,False,465,208,False,360,2000,2023
09-02-2015,35,False,1145,9,False,420,168,False,450,2000,2023
02-02-2015,41,False,1040,14,True,270,168,False,450,2000,2023
19-01-2015,46,False,915,20,True,90,140,False,540,2000,2023
12-01-2015,43,False,915,11,True,90,138,False,540,2000,2023
05-01-2015,45,False,870,0,False,0,136,False,540,2000,2023
29-12-2014,45,False,870,0,False,0,140,False,540,2000,2023
22-12-2014,45,False,870,0,False,0,140,False,540,2000,2023
15-12-2014,45,False,870,0,False,0,140,False,540,2000,2023
08-12-2014,45,False,870,0,False,0,140,False,540,2000,2023
01-12-2014,45,False,870,0,False,0,141,False,540,2000,2023
24-11-2014,45,False,870,0,False,0,141,False,540,2000,2023
17-11-2014,45,False,870,45,False,870,139,False,540,2000,2023
10-11-2014,44,False,870,44,False,870,140,False,540,2000,2023
03-11-2014,44,False,870,52,False,825,139,False,540,2000,2023
27-10-2014,51,False,835,55,False,780,114,False,630,2000,2023
20-10-2014,53,False,835,54,False,780,139,False,540,2000,2023
13-10-2014,49,False,880,52,False,780,157,False,495,2000,2023
06-10-2014,50,False,880,53,True,735,131,False,585,2000,2023
29-09-2014,48,False,880,50,True,735,78,False,885,2000,2023
22-09-2014,48,False,880,50,True,735,79,False,885,2000,2023
15-09-2014,48,False,880,48,True,735,79,False,885,2000,2023
08-09-2014,48,False,880,48,True,735,81,False,885,2000,2023
25-08-2014,49,False,925,50,True,690,91,False,795,2000,2023
18-08-2014,48,False,925,49,True,690,91,False,795,2000,2023
11-08-2014,52,False,890,51,False,645,81,False,885,2000,2023
04-08-2014,51,False,890,54,False,600,73,False,975,2000,2023
28-07-2014,48,False,890,50,False,600,74,False,975,2000,2023
21-07-2014,45,False,935,47,False,600,68,False,1020,2000,2023
14-07-2014,44,False,935,48,True,555,67,False,1110,2000,2023
07-07-2014,45,False,935,45,True,555,66,False,1110,2000,2023
23-06-2014,36,False,1105,41,False,545,59,False,1200,2000,2023
16-06-2014,34,False,1150,39,False,545,58,False,1200,2000,2023
09-06-2014,34,False,1150,38,False,545,58,False,1200,2000,2023
26-05-2014,33,False,1150,40,False,455,52,False,1290,2000,2023
19-05-2014,33,False,1150,47,False,410,53,False,1290,2000,2023
12-05-2014,34,False,1150,43,False,400,51,False,1290,2000,2023
05-05-2014,34,False,1150,40,False,390,53,False,1290,2000,2023
28-04-2014,33,False,1165,43,True,345,53,False,1290,2000,2023
21-04-2014,35,False,1165,41,True,345,51,False,1335,2000,2023
14-04-2014,35,False,1150,64,True,255,50,False,1335,2000,2023
07-04-2014,34,False,1150,57,False,255,51,False,1335,2000,2023
31-03-2014,34,False,1150,80,False,190,51,False,1335,2000,2023
17-03-2014,33,False,1195,92,True,145,53,False,1335,2000,2023
03-03-2014,32,False,1195,118,True,100,53,False,1335,2000,2023
24-02-2014,31,False,1210,178,True,55,57,False,1245,2000,2023
17-02-2014,32,False,1210,160,True,55,59,False,1245,2000,2023
10-02-2014,31,False,1210,132,True,55,62,False,1155,2000,2023
03-02-2014,31,False,1210,111,True,55,62,False,1155,2000,2023
27-01-2014,31,False,1225,123,True,45,62,False,1155,2000,2023
13-01-2014,25,False,1360,0,False,0,67,False,1155,2000,2023
06-01-2014,25,False,1360,0,False,0,68,False,1155,2000,2023
30-12-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
23-12-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
16-12-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
09-12-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
02-12-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
25-11-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
18-11-2013,25,False,1360,0,False,0,68,False,1155,2000,2023
11-11-2013,25,False,1360,25,False,1360,68,False,1155,2000,2023
04-11-2013,25,False,1360,25,False,1360,70,False,1155,2000,2023
