point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA317306,WTA319436,WTA319436,DeuceCourt,163 KPH,Flat,NA,-11.519,-1.023,2.739,2,Unforced Error,NA,False,Ground,BackHand,2.22 Metre,NA,Long Error,False,False,True,4.933,3.243,0.032,Wide,1.088,0.0,1.921,-12.291,-0.7,0.689,12.615,-0.129,0.035,12.121,5.285,1.121,-0.0,2.331,1.194,-8.378,0.278,0.032,1535.64,0,0,0,0,0,0,0,0,WTA317306,WTA319436,0,0,0,0
1_1_2_1,1,1,2,1,WTA317306,WTA319436,WTA319436,AdCourt,155 KPH,Flat,NA,-11.833,1.139,2.791,4,Winner,NA,False,Ground,ForeHand,1.34 Metre,NA,NA,False,False,True,4.677,-0.509,0.031,T,1.047,0.0,-0.081,12.447,1.85,0.671,,,,12.748,-1.255,1.357,0.0,2.229,1.132,-2.546,2.985,0.03,2481.66,0,0,0,0,0,0,0,1,WTA317306,WTA319436,0,0,0,0
1_1_3_1,1,1,3,1,WTA317306,WTA319436,WTA319436,DeuceCourt,172.17 KPH,NA,0.23 Metre,-11.493,-1.064,2.719,0,Faulty Serve,Net Error,True,NA,BackHand,0.78 Metre,NA,Net Error,False,False,True,-0.226,0.589,0.031,T,0.784,0.09,0.012,-11.493,-1.064,2.719,-0.226,0.589,0.031,,,,,,,,,,0,1,0,0,0,0,0,0,2,WTA317306,WTA319436,0,0,0,0
1_1_3_2,1,1,3,2,WTA317306,WTA319436,WTA317306,DeuceCourt,135 KPH,Slice,NA,-11.893,-0.76,2.768,1,Forced Error,NA,False,NA,BackHand,2.06 Metre,NA,NA,False,False,True,5.26,1.748,0.034,Body,1.323,-0.0,0.776,11.668,3.171,1.404,-9.711,-4.615,0.034,11.668,3.171,1.404,-0.0,-1.149,2.063,-9.711,-4.615,0.034,1244.28,0,0,0,0,0,0,0,2,WTA317306,WTA319436,0,0,0,0
1_1_4_1,1,1,4,1,WTA317306,WTA319436,WTA317306,AdCourt,173.3 KPH,Flat,0.23 Metre,-11.688,1.058,2.733,0,Faulty Serve,Long Error,False,NA,BackHand,1.25 Metre,NA,NA,False,False,True,6.629,-0.481,0.034,T,1.249,-0.0,0.014,-11.688,1.058,2.733,6.629,-0.481,0.034,,,,,,,,,,NA,1,0,0,0,0,0,1,2,WTA317306,WTA319436,0,0,0,0
1_1_4_2,1,1,4,2,WTA317306,WTA319436,WTA317306,AdCourt,128 KPH,Kick,NA,-11.813,1.34,2.755,9,Unforced Error,NA,False,Ground,BackHand,1.76 Metre,NA,Long Error,False,False,True,5.057,-1.998,0.035,Body,1.323,-0.0,-1.232,13.198,-3.023,1.069,-12.885,0.524,0.036,13.037,-3.051,1.57,0.0,-2.647,1.848,-10.098,-2.698,0.033,1474.44,0,0,0,0,0,0,1,2,WTA317306,WTA319436,0,0,0,0
1_1_5_1,1,1,5,1,WTA317306,WTA319436,WTA317306,DeuceCourt,156.7 KPH,NA,0.34 Metre,-11.519,-1.229,2.782,0,Faulty Serve,Net Error,True,NA,BackHand,0.78 Metre,NA,Net Error,False,False,True,-0.343,0.254,0.031,T,0.781,0.112,0.026,-11.519,-1.229,2.782,-0.343,0.254,0.031,,,,,,,,,,NA,1,0,0,0,0,0,2,2,WTA317306,WTA319436,0,0,0,0
1_1_5_2,1,1,5,2,WTA317306,WTA319436,WTA317306,DeuceCourt,136 KPH,Kick,NA,-11.819,-0.658,2.666,7,Unforced Error,NA,True,Ground,BackHand,0.86 Metre,NA,Net Error,False,False,True,4.566,1.888,0.034,Body,1.172,-0.0,0.997,9.643,-2.717,1.13,0.341,-0.06,0.031,11.658,3.325,1.54,0.0,3.494,1.415,-7.775,3.414,0.034,2191.02,0,0,0,0,0,0,2,2,WTA317306,WTA319436,0,0,0,0
1_1_6_1,1,1,6,1,WTA317306,WTA319436,WTA317306,AdCourt,174.09 KPH,NA,0.25 Metre,-11.567,0.892,2.708,0,Faulty Serve,Net Error,True,NA,ForeHand,0.76 Metre,NA,Net Error,False,False,True,-0.254,-0.676,0.031,T,0.763,0.001,-0.515,-11.567,0.892,2.708,-0.254,-0.676,0.031,,,,,,,,,,NA,1,0,0,0,0,0,3,2,WTA317306,WTA319436,0,0,0,0
1_1_6_2,1,1,6,2,WTA317306,WTA319436,WTA317306,AdCourt,128 KPH,Kick,NA,-11.656,1.082,2.745,3,Unforced Error,NA,False,Ground,ForeHand,2.06 Metre,NA,Long Error,False,False,True,5.039,-1.979,0.035,Body,1.322,0.0,-1.235,12.499,0.347,0.779,-12.885,-4.425,0.035,11.884,-2.84,1.6,0.0,-0.343,1.488,-9.04,1.258,0.033,2372.52,0,0,0,0,0,0,3,2,WTA317306,WTA319436,0,0,0,0
1_2_1_1,1,2,1,1,WTA319436,WTA317306,WTA317306,DeuceCourt,175.42 KPH,NA,0.32 Metre,-11.25,-1.08,2.764,0,Faulty Serve,Long Error,False,NA,NA,1.34 Metre,NA,NA,False,False,True,6.722,3.707,0.035,Wide,1.336,-0.0,1.88,-11.25,-1.08,2.764,6.722,3.707,0.035,,,,,,,,,,1659.54,1,0,0,0,0,0,0,0,WTA317306,WTA319436,1,0,0,0
1_2_1_2,1,2,1,2,WTA319436,WTA317306,WTA317306,DeuceCourt,157 KPH,Slice,NA,-11.41,-0.881,2.794,0,DoubleFault,NA,False,NA,BackHand,1.44 Metre,NA,NA,False,False,True,7.002,3.636,0.032,Wide,1.436,-0.0,1.748,-11.41,-0.881,2.794,7.002,3.636,0.032,,,,,,,,,,NA,1,1,0,0,0,0,0,0,WTA317306,WTA319436,1,0,0,0
1_2_2_1,1,2,2,1,WTA319436,WTA317306,WTA319436,AdCourt,174 KPH,Flat,NA,-11.317,0.559,2.789,1,Forced Error,NA,False,Ground,ForeHand,2.31 Metre,NA,NA,False,False,True,5.62,-0.845,0.035,T,1.151,-0.0,-0.41,14.156,-1.414,1.186,-12.015,0.966,0.036,14.156,-1.414,1.186,0.0,-0.153,2.314,-12.015,0.966,0.036,1937.52,0,0,0,0,1,0,0,1,WTA317306,WTA319436,1,0,0,0
1_2_3_1,1,2,3,1,WTA319436,WTA317306,WTA319436,DeuceCourt,176.24 KPH,NA,0.18 Metre,-11.545,-0.819,2.831,0,Faulty Serve,Net Error,True,NA,ForeHand,0.89 Metre,NA,Net Error,False,False,True,-0.183,2.102,0.034,Body,0.887,0.001,1.868,-11.545,-0.819,2.831,-0.183,2.102,0.034,,,,,,,,,,NA,1,0,0,0,0,0,1,1,WTA317306,WTA319436,1,0,0,0
1_2_3_2,1,2,3,2,WTA319436,WTA317306,WTA317306,DeuceCourt,148 KPH,Slice,NA,-11.499,-0.883,2.761,2,Unforced Error,NA,False,Ground,ForeHand,2.96 Metre,NA,Long Error,False,False,True,5.175,3.645,0.032,Wide,1.225,0.0,2.093,-10.809,-2.806,0.669,12.885,-1.68,0.034,11.822,5.878,1.271,-0.001,1.47,0.966,-6.483,-1.052,0.032,1761.6,0,0,0,0,0,0,1,1,WTA317306,WTA319436,1,0,0,0
1_2_4_1,1,2,4,1,WTA319436,WTA317306,WTA317306,AdCourt,181.6 KPH,Flat,0.86 Metre,-11.431,0.629,2.781,0,Faulty Serve,Long Error,False,NA,ForeHand,1.35 Metre,NA,NA,False,False,True,7.259,-3.985,0.034,Wide,1.349,0.0,-2.206,-11.431,0.629,2.781,7.259,-3.985,0.034,,,,,,,,,,NA,1,0,0,0,0,0,1,2,WTA317306,WTA319436,1,0,0,0
1_2_4_2,1,2,4,2,WTA319436,WTA317306,WTA319436,AdCourt,145 KPH,Slice,NA,-11.624,0.823,2.869,3,Forced Error,NA,True,Ground,ForeHand,0.76 Metre,NA,NA,False,False,True,4.186,-0.354,0.031,T,1.047,0.0,-0.18,13.916,2.856,0.761,,,,12.215,-0.427,1.43,0.0,-0.813,1.111,-5.142,-1.01,0.031,2075.7,0,0,0,0,0,0,1,2,WTA317306,WTA319436,1,0,0,0
1_2_5_1,1,2,5,1,WTA319436,WTA317306,WTA319436,DeuceCourt,182 KPH,Flat,NA,-11.553,-0.945,2.793,1,Forced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,True,6.193,0.868,0.034,T,1.231,-0.0,0.186,14.202,1.892,1.28,-12.885,-4.615,0.033,14.202,1.892,1.28,0.0,-1.568,5.323,-12.885,-4.615,0.033,1255.44,0,0,0,0,0,0,2,2,WTA317306,WTA319436,1,0,0,0
1_2_6_1,1,2,6,1,WTA319436,WTA317306,WTA317306,AdCourt,182.1 KPH,NA,0.93 Metre,-11.59,0.906,2.799,0,Faulty Serve,Long Error,False,NA,NA,1.39 Metre,NA,NA,False,False,True,7.331,-0.795,0.034,T,1.392,-0.0,-0.181,-11.59,0.906,2.799,7.331,-0.795,0.034,,,,,,,,,,823.62,1,0,0,0,0,0,3,2,WTA317306,WTA319436,1,0,0,0
1_2_6_2,1,2,6,2,WTA319436,WTA317306,WTA317306,AdCourt,156 KPH,Slice,NA,-11.455,0.769,2.865,0,DoubleFault,NA,False,NA,BackHand,1.4 Metre,NA,NA,False,False,True,6.492,-1.602,0.034,Body,1.398,-0.0,-0.898,-11.455,0.769,2.865,6.492,-1.602,0.034,,,,,,,,,,NA,1,1,0,0,0,0,3,2,WTA317306,WTA319436,1,0,0,0
1_2_7_1,1,2,7,1,WTA319436,WTA317306,WTA319436,DeuceCourt,174 KPH,Slice,NA,-11.382,-0.916,2.807,1,Forced Error,NA,False,Ground,ForeHand,2.33 Metre,NA,NA,False,False,True,5.087,3.076,0.032,Wide,1.116,-0.0,1.787,13.532,5.491,1.196,-12.644,1.581,0.035,13.532,5.491,1.196,0.0,3.317,2.326,-12.644,1.581,0.035,1186.68,0,0,0,0,1,0,3,3,WTA317306,WTA319436,1,0,0,0
1_2_8_1,1,2,8,1,WTA319436,WTA317306,WTA319436,AdCourt,178.03 KPH,Slice,0.73 Metre,-11.432,0.835,2.811,0,Faulty Serve,Long Error,False,NA,BackHand,1.4 Metre,NA,NA,False,False,True,7.126,-0.973,0.035,T,1.397,-0.0,-0.364,-11.432,0.835,2.811,7.126,-0.973,0.035,,,,,,,,,,NA,1,0,0,0,0,0,4,3,WTA317306,WTA319436,1,0,0,0
1_2_8_2,1,2,8,2,WTA319436,WTA317306,WTA319436,AdCourt,148 KPH,Slice,NA,-11.566,0.806,2.874,9,Winner,NA,False,Ground,BackHand,1.33 Metre,Down the Line,NA,False,False,True,5.281,-1.404,0.034,Body,1.251,0.0,-0.899,-9.274,5.222,0.756,10.739,3.845,0.035,12.934,-1.899,1.468,0.0,0.481,1.465,-9.73,2.518,0.034,1481.4,0,0,0,0,0,0,4,3,WTA317306,WTA319436,1,0,0,0
1_3_1_1,1,3,1,1,WTA317306,WTA319436,WTA317306,DeuceCourt,154.82 KPH,NA,0.44 Metre,11.937,1.129,2.727,0,Faulty Serve,Net Error,True,NA,ForeHand,0.9 Metre,NA,Net Error,False,False,True,0.436,-2.429,0.032,Body,0.896,-0.101,-2.099,11.937,1.129,2.727,0.436,-2.429,0.032,,,,,,,,,,NA,1,0,0,0,0,0,0,0,WTA317306,WTA319436,1,1,0,0
1_3_1_2,1,3,1,2,WTA317306,WTA319436,WTA317306,DeuceCourt,139 KPH,Slice,NA,11.996,0.757,2.716,7,Unforced Error,NA,False,Ground,ForeHand,2.15 Metre,NA,Long Error,False,False,True,-5.303,-1.952,0.032,Body,1.308,0.0,-0.89,-14.346,-0.066,1.169,12.885,0.93,0.034,-11.459,-3.466,1.291,0.0,-0.933,1.296,8.163,0.95,0.034,1479.78,0,0,0,0,0,0,0,0,WTA317306,WTA319436,1,1,0,0
1_3_2_1,1,3,2,1,WTA317306,WTA319436,WTA317306,AdCourt,164 KPH,Flat,NA,11.897,-1.284,2.655,1,Forced Error,NA,False,Ground,ForeHand,1.97 Metre,NA,NA,False,False,True,-5.25,0.326,0.03,T,1.091,0.0,-0.133,-13.366,0.95,1.176,12.817,-1.601,0.034,-13.366,0.95,1.176,-0.0,-0.428,1.969,12.817,-1.601,0.034,1051.14,0,0,0,0,0,0,1,0,WTA317306,WTA319436,1,1,0,0
1_3_3_1,1,3,3,1,WTA317306,WTA319436,WTA317306,DeuceCourt,163 KPH,Pronated,NA,11.789,1.13,2.723,3,Winner,NA,False,Ground,BackHand,1.39 Metre,Down the Line,NA,False,False,True,-4.784,-1.26,0.031,T,1.023,0.0,-0.557,12.071,-1.569,1.405,-8.726,-3.85,0.033,-12.563,-2.378,1.093,0.0,-2.109,2.029,6.61,-1.841,0.035,1597.32,0,0,0,0,0,0,2,0,WTA317306,WTA319436,1,1,0,0
1_3_4_1,1,3,4,1,WTA317306,WTA319436,WTA319436,AdCourt,168.08 KPH,Pronated,0.67 Metre,11.792,-1.116,2.696,0,Faulty Serve,Wide Error,False,NA,NA,1.21 Metre,NA,Wide Error,False,False,True,-5.706,4.782,0.036,Wide,1.208,0.0,2.84,11.792,-1.116,2.696,-5.706,4.782,0.036,,,,,,,,,,NA,1,0,0,0,0,0,3,0,WTA317306,WTA319436,1,1,0,0
