point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,43970,21647,,DeuceCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,43970,21647,0,0,0,0
1_1_1_2,1,1,1,2,43970,21647,21647,DeuceCourt,0 KPH,NA,NA,,,,10,Unforced Error,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,43970,21647,0,0,0,0
NA,1,1,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,1,43970,21647,0,0,0,0
1_1_2_2,1,1,2,2,43970,21647,43970,AdCourt,0 KPH,NA,NA,,,,5,Forced Error,NA,False,,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,43970,21647,0,0,0,0
1_1_3_1,1,1,3,1,43970,21647,43970,DeuceCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,43970,21647,0,0,0,0
1_1_3_2,1,1,3,2,43970,21647,21647,DeuceCourt,0 KPH,NA,NA,,,,10,Winner,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,43970,21647,0,0,0,0
1_1_4_1,1,1,4,1,43970,21647,43970,AdCourt,NA,NA,NA,,,,1,Ace,NA,False,,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,2,43970,21647,0,0,0,0
NA,1,1,5,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,1,2,2,43970,21647,0,0,0,0
1_1_5_2,1,1,5,2,43970,21647,43970,DeuceCourt,0 KPH,NA,NA,,,,1,Forced Error,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,2,43970,21647,0,0,0,0
1_1_6_1,1,1,6,1,43970,21647,43970,AdCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,3,2,43970,21647,0,0,0,0
1_1_6_2,1,1,6,2,43970,21647,43970,AdCourt,0 KPH,NA,NA,,,,3,Winner,NA,False,,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,2,43970,21647,0,0,0,0
NA,1,2,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0,43970,21647,1,0,0,0
1_2_1_2,1,2,1,2,21647,43970,21647,DeuceCourt,0 KPH,NA,NA,,,,5,Unforced Error,NA,False,,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,43970,21647,1,0,0,0
1_2_2_1,1,2,2,1,21647,43970,21647,AdCourt,0 KPH,NA,NA,,,,0,Faulty Serve,NA,False,,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,43970,21647,1,0,0,0
1_2_2_2,1,2,2,2,21647,43970,21647,AdCourt,147 KPH,Flat,NA,-11.517,2.236,2.732,1,Forced Error,NA,True,Ground,BackHand,0.73 Metre,NA,NA,False,False,True,5.682,-3.455,0.032,Wide,1.439,-0.0,-1.815,10.337,-4.939,1.353,0.47,0.355,0.035,10.337,-4.939,1.353,-0.001,-0.849,0.728,0.47,0.355,0.035,1278.66,0,0,0,0,0,0,1,0,43970,21647,1,0,0,0
NA,1,2,3,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,0,43970,21647,1,0,0,0
